Year of Ceremony,Movie_Title,Nominations,Directed_By,Written_By,Produced_By,Screenplay_By,Adapted_From,Cast,Cinematography,Edited_By,Production Companies,Distributed_By,Date_Released,Running_Time (minutes),Producer_Country,Language,Budget (in millions),Box Office (in millions),Gains,"% of budget/box office made (If the budget is 1/3rd of the revenue, then movie did good, smaller than 33% is better)",Parental Guide,RT Critics,RT Audience,Lat,Long,Setting_City,Setting_Country,Filming_City,Filming_Country,Setting_Time,Film genre ,Summary,Notes
18th,Why Girls Leave Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,A Gun in His Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Along the Rainbow Trail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Brewster's Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Captain Eddie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Captain Kidd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Dillinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Donald's Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Earl Carroll Vanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Experiment Perilous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,G. I. Honeymoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Guest in the House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Guest Wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Here Come the Waves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Hitchhike to Happiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Incendiary Blonde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Jasper and the Beanstalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Lady on a Train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Library of Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Life with Feathers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Mighty Mouse in Gypsy Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Music for Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Paris Underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Pride of the Marines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Rippling Romance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Salty O'Rourke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Screen Snapshots' 25th Anniversary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Sing Your Way Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Story of a Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Sunbonnet Sue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Affairs of Susan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Enchanted Cottage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Jury Goes Round 'N' Round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Last Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Little Witch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Man Who Walked Alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Poet and the Peasant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Spanish Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Unseen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The Woman in the Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,This Love of Ours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Three Is a Family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,To the Shores of Iwo Jima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,"What Next, Corporal Hargrove?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,White Rhapsody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,Your National Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18th,The House I Live In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Best Years of Our Lives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Yearling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Jolson Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Anna and the King of Siam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Razor's Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Harvey Girls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,To Each His Own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,A Boy and His Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Blithe Spirit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Facing Your Danger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Seeds of Destiny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Cat Concerto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Seventh Veil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Vacation From Marriage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,It's a Wonderful Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Henry V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Killers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Brief Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Blue Skies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Centennial Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Duel in the Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Notorious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Green Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,A Stolen Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Atomic Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Caesar and Cleopatra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Canyon Passage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Children of Paradise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,College Queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Dive-Hi Champs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Golden Horses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Hiss and Yell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Humoresque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,John Henry and the Inky-Poo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Kitty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Life at the Zoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Musical Moments from Chopin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Night and Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Paramount News Issue # 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Road to Utopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,"Rome, Open City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Saratoga Trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Sister Kenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Smart as a Fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Squatter's Rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Sure Cures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Blue Dahlia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Dark Mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Dolly Sisters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Luckiest Guy in the World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Spiral Staircase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Strange Love of Martha Ivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,The Stranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Traffic with the Devil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Walky Talky Hawky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19th,Three Little Girls in Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Gentleman's Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Miracle on 34th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Great Expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,A Double Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Black Narcissus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,The Bishop's Wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Green Dolphin Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Body and Soul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Mother Wore Tights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Song of the South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,The Farmer's Daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Climbing the Matterhorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Design for Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,First Steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,"Goodbye, Miss Turlock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,The Bachelor and the Bobby-Soxer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Tweetie Pie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Crossfire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Life with Father,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Kiss of Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Mourning Becomes Electra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,"Smash-Up, the Story of a Woman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,A Cage of Nightingales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,A Voice Is Born: The Story of Niklos Gafni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Boomerang!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,"Brooklyn, U.S.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Captain from Castile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Champagne for Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Chip an' Dale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Dr. Jekyll and Mr. Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Fiesta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Fight of the Wild Stallions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Forever Amber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Give Us the Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Good News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,It Happened on 5th Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Journey into Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Monsieur Verdoux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Moon Rockets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,My Wild Irish Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Now You See It,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Odd Man Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Passport to Nowhere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Pluto's Blue Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Possessed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Ride the Pink Horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Road to Rio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,School in the Mailbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Shoeshine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,So You Want to Be in Pictures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,T-Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,The Egg and I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,The Foxes of Harrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,The Ghost and Mrs. Muir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,The Paradine Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,The Perils of Pauline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,"The Time, the Place and the Girl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,The World Is Rich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Tubby the Tuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Unconquered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20th,Bill and Coo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,The Treasure of the Sierra Madre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Joan of Arc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,The Red Shoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,The Naked City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Johnny Belinda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,The Snake Pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,The Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Portrait of Jennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Easter Parade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Key Largo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Seal Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Symphony of a City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,The Little Orphan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,The Paleface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,The Secret Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Toward Independence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,I Remember Mama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,A Foreign Affair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Red River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Romance on the High Seas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,The Emperor Waltz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,When My Baby Smiles at Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Annie Was a Wonder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,B.F.'s Daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Calgary Stampede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Casbah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Cinderella Horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Deep Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Going to Blazes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Green Grass of Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Heart to Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Louisiana Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Mickey and the Seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Moonrise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Mouse Wreckers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Operation Vittles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Robin Hoodlum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Samba-Mania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Sitting Pretty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Snow Capers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,So You Want to Be on the Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,"Sorry, Wrong Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Tea for Two Hundred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,That Lady in Ermine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,The Loves of Carmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,The Luck of the Irish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,The Pirate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st / 22nd,The Quiet One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,The Three Musketeers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Wet Blanket Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,You Can't Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21st,Monsieur Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,All the King's Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,The Heiress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Battleground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Twelve O'Clock High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,A Letter to Three Wives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Champion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Adventures of Don Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Little Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,A Chance to Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Aquatic House Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Daybreak in Udi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,For Scent-imental Reasons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Mighty Joe Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Neptune's Daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,On the Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,She Wore a Yellow Ribbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,So Much for So Little,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,The Stratton Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Van Gogh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Come to the Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Sands of Iwo Jima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Jolson Sings Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Pinky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,My Foolish Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Prince of Foxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,The Fallen Idol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Beyond the Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Bicycle Thieves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Canary Row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Chase of Death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,"Edward, My Son",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Hatch Up Your Troubles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,It Happens Every Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,It's a Great Feeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Kenji Comes Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Look for the Silver Lining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Madame Bovary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Mother Is a Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,"Once More, My Darling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Paisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Passport to Pimlico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Roller Derby Girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Saraband for Dead Lovers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Snow Carnival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,So Dear to My Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,So You Think You're Not Guilty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Spills and Chills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,The Barkleys of Broadway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,The Boy and the Eagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,The Grass Is Always Greener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,The Hasty Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,The Magic Fluke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,The Rising Tide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,The Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Toy Tinkers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Tulsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,Water Trix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22nd,White Heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,All About Eve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Sunset Boulevard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Samson and Delilah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,King Solomon's Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Born Yesterday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Annie Get Your Gun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,The Third Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Destination Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Harvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,"Captain Carey, U.S.A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Cyrano de Bergerac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Gerald McBoing-Boing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Grandad of Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,In Beaver Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Panic in the Streets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,The Titan: Story of Michelangelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Why Korea?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,The Asphalt Jungle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Broken Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Caged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Cinderella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Father of the Bride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,The Flame and the Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,The Magnificent Yankee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Adam's Rib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Bitter Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Blaze Busters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Grandma Moses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,I'll Get By,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Jerry's Cousin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Louisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23rd,Mister 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
